City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,bafoulabe,13.8065,-10.8321,28.86,12,0,4.13,ML,1738029211
82,muroto-misakicho,33.2833,134.15,8.41,60,3,11.59,JP,1738028928
83,ribeira grande,38.5167,-28.7,16.54,72,40,5.81,PT,1738029213
84,susanville,40.4163,-120.653,-0.09,50,0,2.06,US,1738029151
85,kimbe,-5.5502,150.1429,32.12,56,98,2.7,PG,1738029215
86,papatowai,-46.5619,169.4708,21.5,40,30,4.01,NZ,1738029216
87,kapa'a,22.0752,-159.319,24.18,70,75,9.26,US,1738029217
88,cidreira,-30.1811,-50.2056,24.37,82,100,7.68,BR,1738029218
89,olonkinbyen,70.9221,-8.7187,-3.25,93,90,3.21,SJ,1738029219
90,sitka,57.0531,-135.33,6.94,76,75,4.12,US,1738029220
91,tralee,52.2704,-9.7026,7.89,85,100,10.26,IE,1738029221
92,west island,-12.1568,96.8225,28.99,84,100,2.57,CC,1738029222
93,westport,41.1415,-73.3579,2.17,52,0,6.17,US,1738029223
94,khorugh,37.4897,71.553,-15.76,75,100,1.49,TJ,1738029225
95,cuamba,-14.8031,36.5372,20.59,98,100,1.53,MZ,1738029226
96,utrik,11.2278,169.8474,26.57,82,14,9.48,MH,1738029227
97,flin flon,54.7682,-101.865,-11.42,96,100,3.15,CA,1738029228
98,uliastay,47.7417,96.8444,-19.68,81,82,2.89,MN,1738029229
99,port mathurin,-19.6833,63.4167,26.25,79,91,4.88,MU,1738029230
100,isla mujeres,21.2311,-86.731,25.05,79,3,4.51,MX,1738029231
101,queenstown,-31.8976,26.8753,18.93,91,100,1.5,ZA,1738029232
102,punta arenas,-53.15,-70.9167,10.06,62,20,12.35,CL,1738029105
103,edinburgh of the seven seas,-37.0676,-12.3116,18.86,90,100,6.55,SH,1738029234
104,rocha,-34.4833,-54.3333,20.25,84,67,5.04,UY,1738029235
105,richards bay,-28.783,32.0377,22.34,89,3,1.91,ZA,1738029236
106,port blair,11.6667,92.75,27.02,83,75,3.09,IN,1738029237
107,camana,-16.6228,-72.7111,21.76,85,100,1.53,PE,1738029238
108,missoula,47.0166,-113.8009,-11.61,71,23,0.97,US,1738029131
109,ribas do rio pardo,-20.4431,-53.7592,23.71,88,98,0.64,BR,1738029240
110,sabang,5.8933,95.3214,27.27,81,99,9.09,ID,1738029241
111,klyuchi,52.2667,79.1667,-15.14,89,100,5.06,RU,1738029242
112,argo,37.6333,22.7333,10.21,80,0,1.21,GR,1738029244
113,sao miguel do araguaia,-13.275,-50.1628,23.75,85,15,0.61,BR,1738029246
114,tototlan,20.55,-102.8,19.5,39,98,1.2,MX,1738029247
115,kavieng,-2.5744,150.7967,30.16,62,5,5.24,PG,1738029248
116,dofteana,46.3167,26.5167,6.61,61,46,2.74,RO,1738029249
117,hami,42.8,93.45,-9.34,57,15,2.92,CN,1738029250
118,igarka,67.4667,86.5833,-31.95,93,5,2.3,RU,1738029251
119,aasiaat,68.7098,-52.8699,-25.24,87,26,3.47,GL,1738029252
